basename	readIndex	25%-percentile	median	averageQuality	75%-percentile
FAKETAG-834-AMPK_KO	49	34	38	35.756199	40
FAKETAG-834-AMPK_KO	29	36	39	37.248530	41
FAKETAG-834-AMPK_KO	94	29	34	28.998068	35
FAKETAG-834-AMPK_KO	15	36	39	37.605189	41
FAKETAG-834-AMPK_KO	92	29	34	29.226442	35
FAKETAG-834-AMPK_KO	10	37	39	36.838499	39
FAKETAG-834-AMPK_KO	27	36	39	37.105676	41
FAKETAG-834-AMPK_KO	30	36	39	37.162138	41
FAKETAG-834-AMPK_KO	81	30	34	30.862410	35
FAKETAG-834-AMPK_KO	17	37	40	37.781569	41
FAKETAG-834-AMPK_KO	71	31	35	32.599958	37
FAKETAG-834-AMPK_KO	35	35	39	36.560776	40
FAKETAG-834-AMPK_KO	96	29	34	28.585056	35
FAKETAG-834-AMPK_KO	62	33	36	34.276980	40
FAKETAG-834-AMPK_KO	34	36	39	36.828567	40
FAKETAG-834-AMPK_KO	47	34	38	35.310202	40
FAKETAG-834-AMPK_KO	39	35	38	36.369980	40
FAKETAG-834-AMPK_KO	80	30	34	30.941038	35
FAKETAG-834-AMPK_KO	100	25	32	26.118917	34
FAKETAG-834-AMPK_KO	91	29	34	29.171555	35
FAKETAG-834-AMPK_KO	98	29	33	27.874000	35
FAKETAG-834-AMPK_KO	56	33	38	34.856169	40
FAKETAG-834-AMPK_KO	16	37	40	37.732602	41
FAKETAG-834-AMPK_KO	4	33	35	34.298553	37
FAKETAG-834-AMPK_KO	90	29	34	29.042808	35
FAKETAG-834-AMPK_KO	33	36	39	37.017233	40
FAKETAG-834-AMPK_KO	69	32	35	32.851959	38
FAKETAG-834-AMPK_KO	78	30	34	31.042045	36
FAKETAG-834-AMPK_KO	54	34	38	35.206455	40
FAKETAG-834-AMPK_KO	40	35	38	36.374791	40
FAKETAG-834-AMPK_KO	2	28	31	28.965292	34
FAKETAG-834-AMPK_KO	74	31	35	31.978728	37
FAKETAG-834-AMPK_KO	64	32	36	33.628472	39
FAKETAG-834-AMPK_KO	50	34	38	35.538923	40
FAKETAG-834-AMPK_KO	68	32	35	32.996784	38
FAKETAG-834-AMPK_KO	87	30	34	29.822352	35
FAKETAG-834-AMPK_KO	11	33	38	32.497779	39
FAKETAG-834-AMPK_KO	42	35	38	36.129061	40
FAKETAG-834-AMPK_KO	77	30	34	31.240869	36
FAKETAG-834-AMPK_KO	82	30	34	30.767396	35
FAKETAG-834-AMPK_KO	85	30	34	30.353119	35
FAKETAG-834-AMPK_KO	76	30	34	30.938522	36
