basename	read-index	count-variation-bases	bases-at-index/all-variations-bases	bases-at-index/all-reference-bases	count-reference-bases	count-reference-bases-at-index
847-WT	1	0	0.0	0.000000	2990459705	28413353
847-WT	2	74	5.803228367309536E-6	0.000000	2990459705	28959253
847-WT	3	1330215	0.10431812733271155	0.000445	2990459705	28045151
847-WT	4	413797	0.032450790387940326	0.000138	2990459705	29076718
847-WT	5	66618	0.005224317126667928	0.000022	2990459705	29556626
847-WT	6	61270	0.004804916244122368	0.000020	2990459705	29584115
847-WT	7	49883	0.003911924873601373	0.000017	2990459705	29615774
847-WT	8	67917	0.0053261873111157	0.000023	2990459705	29616796
847-WT	9	194132	0.015224220667601823	0.000065	2990459705	29509853
847-WT	10	61233	0.004802014629938714	0.000020	2990459705	29661653
847-WT	11	49735	0.003900318416866754	0.000017	2990459705	29689172
847-WT	12	78268	0.006137933484494362	0.000026	2990459705	29674560
847-WT	13	269283	0.021117712762624512	0.000090	2990459705	29497971
847-WT	14	65252	0.005117192667887593	0.000022	2990459705	29716716
847-WT	15	49555	0.0038862024559732982	0.000017	2990459705	29746262
847-WT	16	51064	0.004004541261463435	0.000017	2990459705	29758234
847-WT	17	92080	0.007221098217052191	0.000031	2990459705	29730173
847-WT	18	51173	0.004013089260004472	0.000017	2990459705	29783671
847-WT	19	72131	0.005656657640032489	0.000024	2990459705	29774409
847-WT	20	52666	0.00413017331341519	0.000018	2990459705	29805419
847-WT	21	85244	0.006685005391120731	0.000029	2990459705	29783400
847-WT	22	125956	0.00987772205720054	0.000042	2990459705	29753479
847-WT	23	211080	0.016553316807725635	0.000071	2990459705	29678512
847-WT	24	52942	0.004151817786785155	0.000018	2990459705	29845877
847-WT	25	153569	0.012043188880261598	0.000051	2990459705	29754416
847-WT	26	69821	0.005475502808566474	0.000023	2990459705	29846144
847-WT	27	67404	0.005285956822569351	0.000023	2990459705	29855691
847-WT	28	80761	0.006333439542868723	0.000027	2990459705	29849185
847-WT	29	64500	0.005058219320154934	0.000022	2990459705	29870250
847-WT	30	65039	0.005100488780830337	0.000022	2990459705	29873860
847-WT	31	118669	0.009306260907030477	0.000040	2990459705	29821269
847-WT	32	68147	0.005344224372257338	0.000023	2990459705	29872208
847-WT	33	152374	0.011949474584330044	0.000051	2990459705	29788361
847-WT	34	100978	0.00791889721721868	0.000034	2990459705	29839099
847-WT	35	65034	0.005100096670805519	0.000022	2990459705	29875437
847-WT	36	68219	0.005349870756614719	0.000023	2990459705	29871986
847-WT	37	101776	0.007981477977179668	0.000034	2990459705	29838722
847-WT	38	68551	0.005375906862262649	0.000023	2990459705	29871565
847-WT	39	143283	0.011236540137205571	0.000048	2990459705	29796980
847-WT	40	95406	0.007481929805561265	0.000032	2990459705	29844993
847-WT	41	77164	0.006051355591014501	0.000026	2990459705	29863148
847-WT	42	74292	0.00582612759275892	0.000025	2990459705	29866163
847-WT	43	77183	0.00605284560910881	0.000026	2990459705	29863305
847-WT	44	77983	0.006115583213079724	0.000026	2990459705	29862260
847-WT	45	80230	0.006291797458233028	0.000027	2990459705	29860073
847-WT	46	82862	0.006498204175297335	0.000028	2990459705	29857235
847-WT	47	83858	0.006576312492241123	0.000028	2990459705	29856440
847-WT	48	86400	0.006775661228858702	0.000029	2990459705	29854182
847-WT	49	75038	0.0058846304084617974	0.000025	2990459705	29865204
847-WT	50	76468	0.005996773875559806	0.000026	2990459705	29863918
847-WT	51	82219	0.006447778826105713	0.000027	2990459705	29858110
847-WT	52	88873	0.00696959884713379	0.000030	2990459705	29851483
847-WT	53	101598	0.007967518860296138	0.000034	2990459705	29838645
847-WT	54	87050	0.00682663553208507	0.000029	2990459705	29853280
847-WT	55	90605	0.0071054257597308185	0.000030	2990459705	29849810
847-WT	56	93172	0.007306735046472488	0.000031	2990459705	29847148
847-WT	57	97546	0.00764975289618346	0.000033	2990459705	29842706
847-WT	58	99447	0.007798833127619344	0.000033	2990459705	29840770
847-WT	59	99622	0.007812556978487982	0.000033	2990459705	29840354
847-WT	60	100607	0.00788980265337717	0.000034	2990459705	29839763
847-WT	61	89396	0.0070106135557297744	0.000030	2990459705	29850712
847-WT	62	97556	0.007650537116233096	0.000033	2990459705	29842759
847-WT	63	103965	0.00815314374604508	0.000035	2990459705	29836229
847-WT	64	98357	0.007713353142208974	0.000033	2990459705	29841857
847-WT	65	98090	0.007692414466883681	0.000033	2990459705	29841786
847-WT	66	100867	0.007910192374667717	0.000034	2990459705	29839047
847-WT	67	100295	0.007865334987828513	0.000034	2990459705	29839548
847-WT	68	110969	0.008702411468810432	0.000037	2990459705	29828947
847-WT	69	117891	0.009245248587168764	0.000039	2990459705	29822001
847-WT	70	112650	0.008834238859154315	0.000038	2990459705	29827174
847-WT	71	114670	0.008992651309180873	0.000038	2990459705	29824945
847-WT	72	115804	0.009081581862809643	0.000039	2990459705	29822396
847-WT	73	129652	0.010167569787546162	0.000043	2990459705	29800882
847-WT	74	128352	0.010065621181093427	0.000043	2990459705	29793877
847-WT	75	138133	0.010832666811642813	0.000046	2990459705	29773395
847-WT	76	126323	0.009906502933022197	0.000042	2990459705	29773435
847-WT	77	121259	0.009509373899886311	0.000041	2990459705	29764923
847-WT	78	119484	0.009370174841075846	0.000040	2990459705	29752476
847-WT	79	129031	0.01011886972246374	0.000043	2990459705	29727038
847-WT	80	134265	0.010529330496443444	0.000045	2990459705	29704440
847-WT	81	286100	0.022436535620098084	0.000096	2990459705	29532808
847-WT	82	168604	0.01322226372488996	0.000056	2990459705	29628763
847-WT	83	142489	0.01117427306526444	0.000048	2990459705	29631457
847-WT	84	138919	0.010894306507544235	0.000046	2990459705	29607630
847-WT	85	319960	0.025091904708167016	0.000107	2990459705	29395589
847-WT	86	160974	0.012623903827017368	0.000054	2990459705	29521856
847-WT	87	158473	0.0124277703926033	0.000053	2990459705	29488370
847-WT	88	165104	0.012947786707517213	0.000055	2990459705	29441761
847-WT	89	163710	0.012838466432597895	0.000055	2990459705	29399211
847-WT	90	171284	0.013432434698192521	0.000057	2990459705	29343301
847-WT	91	177689	0.013934727639984651	0.000059	2990459705	29282294
847-WT	92	172876	0.01355728253009464	0.000058	2990459705	29224345
847-WT	93	313252	0.024565849898870902	0.000105	2990459705	29010935
847-WT	94	169494	0.013292059309307602	0.000057	2990459705	29076116
847-WT	95	170769	0.013392047365636246	0.000057	2990459705	28986281
847-WT	96	335599	0.026318346443793418	0.000112	2990459705	28719313
847-WT	97	179780	0.014098708052363627	0.000060	2990459705	28767699
847-WT	98	157421	0.012345270443381547	0.000053	2990459705	28662120
847-WT	99	142548	0.011178899963557294	0.000048	2990459705	28535944
847-WT	100	2153	1.6884257668672205E-4	0.000001	2990459705	28373991
847-WT	101	0	0.0	0.000000	2990459705	27900744
