basename	readIndex	25%-percentile	median	averageQuality	75%-percentile
FAKETAG-833-AMPK_KO	49	35	39	36.213206	40
FAKETAG-833-AMPK_KO	29	37	40	37.557836	41
FAKETAG-833-AMPK_KO	94	30	34	29.515812	35
FAKETAG-833-AMPK_KO	15	37	40	38.173643	41
FAKETAG-833-AMPK_KO	92	30	34	29.696756	35
FAKETAG-833-AMPK_KO	10	37	39	37.002782	39
FAKETAG-833-AMPK_KO	27	37	40	37.674690	41
FAKETAG-833-AMPK_KO	30	37	40	37.444034	41
FAKETAG-833-AMPK_KO	81	31	34	31.298046	35
FAKETAG-833-AMPK_KO	17	37	40	38.145218	41
FAKETAG-833-AMPK_KO	71	32	35	33.030234	37
FAKETAG-833-AMPK_KO	35	36	39	37.125114	41
FAKETAG-833-AMPK_KO	96	29	34	29.063401	35
FAKETAG-833-AMPK_KO	62	33	37	34.628409	40
FAKETAG-833-AMPK_KO	34	36	39	37.182444	41
FAKETAG-833-AMPK_KO	47	35	38	35.933044	40
FAKETAG-833-AMPK_KO	39	35	39	36.732000	40
FAKETAG-833-AMPK_KO	80	31	34	31.397671	35
FAKETAG-833-AMPK_KO	100	25	32	26.850281	34
FAKETAG-833-AMPK_KO	91	30	34	29.970805	35
FAKETAG-833-AMPK_KO	98	29	34	28.713120	35
FAKETAG-833-AMPK_KO	56	34	38	35.313022	40
FAKETAG-833-AMPK_KO	16	37	40	38.127829	41
FAKETAG-833-AMPK_KO	4	35	37	34.784501	37
FAKETAG-833-AMPK_KO	90	30	34	30.141666	35
FAKETAG-833-AMPK_KO	33	36	39	37.212328	41
FAKETAG-833-AMPK_KO	69	32	35	33.411054	38
FAKETAG-833-AMPK_KO	78	31	35	31.803384	36
FAKETAG-833-AMPK_KO	54	34	38	35.659309	40
FAKETAG-833-AMPK_KO	40	35	39	36.670752	40
FAKETAG-833-AMPK_KO	2	30	31	29.964641	34
FAKETAG-833-AMPK_KO	74	32	35	32.394111	37
FAKETAG-833-AMPK_KO	64	33	36	34.375513	39
FAKETAG-833-AMPK_KO	50	35	39	36.124098	40
FAKETAG-833-AMPK_KO	68	33	35	33.624879	39
FAKETAG-833-AMPK_KO	87	31	34	30.538931	35
FAKETAG-833-AMPK_KO	11	37	39	36.982027	39
FAKETAG-833-AMPK_KO	42	35	39	36.516747	40
FAKETAG-833-AMPK_KO	77	31	34	31.783188	36
