basename	readIndex	25%-percentile	median	averageQuality	75%-percentile
FAKETAG-835-AMPK_KO	49	35	38	36.085455	40
FAKETAG-835-AMPK_KO	29	36	40	37.436072	41
FAKETAG-835-AMPK_KO	94	30	34	29.547411	35
FAKETAG-835-AMPK_KO	15	37	40	38.107610	41
FAKETAG-835-AMPK_KO	92	30	34	29.843019	35
FAKETAG-835-AMPK_KO	10	37	39	36.973316	39
FAKETAG-835-AMPK_KO	27	37	40	37.418124	41
FAKETAG-835-AMPK_KO	30	36	40	37.297577	41
FAKETAG-835-AMPK_KO	81	31	34	31.394922	35
FAKETAG-835-AMPK_KO	17	37	40	38.077107	41
FAKETAG-835-AMPK_KO	71	32	35	32.994269	37
FAKETAG-835-AMPK_KO	35	36	39	37.031665	41
FAKETAG-835-AMPK_KO	96	30	34	29.146564	35
FAKETAG-835-AMPK_KO	62	33	37	34.635301	40
FAKETAG-835-AMPK_KO	34	36	39	37.132739	41
FAKETAG-835-AMPK_KO	47	34	38	35.788539	40
FAKETAG-835-AMPK_KO	39	35	39	36.687801	40
FAKETAG-835-AMPK_KO	80	31	34	31.530484	35
FAKETAG-835-AMPK_KO	100	25	32	26.793979	34
FAKETAG-835-AMPK_KO	91	30	34	29.963171	35
FAKETAG-835-AMPK_KO	98	29	34	28.703870	35
FAKETAG-835-AMPK_KO	56	34	38	35.226714	40
FAKETAG-835-AMPK_KO	16	37	40	38.102979	41
FAKETAG-835-AMPK_KO	4	35	37	34.707986	37
FAKETAG-835-AMPK_KO	90	30	34	30.109765	35
FAKETAG-835-AMPK_KO	33	36	39	37.189113	41
FAKETAG-835-AMPK_KO	69	32	35	33.341870	38
FAKETAG-835-AMPK_KO	78	31	34	31.697662	36
FAKETAG-835-AMPK_KO	54	34	38	35.550796	40
FAKETAG-835-AMPK_KO	40	35	39	36.566575	40
FAKETAG-835-AMPK_KO	2	30	31	30.021334	34
FAKETAG-835-AMPK_KO	74	31	35	32.390295	37
FAKETAG-835-AMPK_KO	64	33	36	34.289889	39
FAKETAG-835-AMPK_KO	50	35	38	35.991768	40
FAKETAG-835-AMPK_KO	68	32	35	33.561288	39
FAKETAG-835-AMPK_KO	87	31	34	30.518094	35
FAKETAG-835-AMPK_KO	11	37	39	36.967205	39
FAKETAG-835-AMPK_KO	42	35	38	36.368271	40
FAKETAG-835-AMPK_KO	77	31	34	31.642676	36
FAKETAG-835-AMPK_KO	82	31	34	31.274673	35
FAKETAG-835-AMPK_KO	85	31	34	30.796980	35
FAKETAG-835-AMPK_KO	76	30	34	31.432020	36
FAKETAG-835-AMPK_KO	48	35	38	36.101193	40
FAKETAG-835-AMPK_KO	60	33	37	34.814936	40
FAKETAG-835-AMPK_KO	99	29	34	28.428698	35
FAKETAG-835-AMPK_KO	93	30	34	29.714794	35
FAKETAG-835-AMPK_KO	41	35	39	36.461709	40
FAKETAG-835-AMPK_KO	28	37	40	37.491991	41
FAKETAG-835-AMPK_KO	25	37	40	37.753950	41
FAKETAG-835-AMPK_KO	0	31	31	31.562399	34
FAKETAG-835-AMPK_KO	52	34	38	35.816055	40
FAKETAG-835-AMPK_KO	20	37	40	38.064673	41
FAKETAG-835-AMPK_KO	72	32	35	32.810346	37
FAKETAG-835-AMPK_KO	44	35	38	36.153484	40
FAKETAG-835-AMPK_KO	79	31	34	31.621088	36
FAKETAG-835-AMPK_KO	66	33	36	33.957902	39
FAKETAG-835-AMPK_KO	57	34	38	35.034167	40
FAKETAG-835-AMPK_KO	6	35	37	35.216726	37
FAKETAG-835-AMPK_KO	83	31	34	31.096786	35
FAKETAG-835-AMPK_KO	36	36	39	36.945353	41
FAKETAG-835-AMPK_KO	38	35	39	36.790220	40
FAKETAG-835-AMPK_KO	3	35	37	33.900134	37
FAKETAG-835-AMPK_KO	67	33	36	33.771373	39
FAKETAG-835-AMPK_KO	21	37	40	37.908527	41
FAKETAG-835-AMPK_KO	43	35	38	36.238936	40
FAKETAG-835-AMPK_KO	61	33	37	34.754700	40
FAKETAG-835-AMPK_KO	86	31	34	30.671787	35
FAKETAG-835-AMPK_KO	70	32	35	33.182320	38
FAKETAG-835-AMPK_KO	88	30	34	30.394698	35
FAKETAG-835-AMPK_KO	84	31	34	30.959595	35
FAKETAG-835-AMPK_KO	73	32	35	32.592480	37
FAKETAG-835-AMPK_KO	1	31	31	31.191440	34
FAKETAG-835-AMPK_KO	19	37	40	38.105000	41
FAKETAG-835-AMPK_KO	75	30	34	30.938708	35
FAKETAG-835-AMPK_KO	24	37	40	37.871619	41
FAKETAG-835-AMPK_KO	89	30	34	30.250449	35
FAKETAG-835-AMPK_KO	31	36	39	37.244040	41
FAKETAG-835-AMPK_KO	37	36	39	36.851732	40
FAKETAG-835-AMPK_KO	14	37	40	38.107539	41
FAKETAG-835-AMPK_KO	97	29	34	28.921349	35
FAKETAG-835-AMPK_KO	7	35	37	35.264147	37
