basename	readIndex	25%-percentile	median	averageQuality	75%-percentile
FAKETAG-	49	35	38	36.072993	40
FAKETAG-	29	36	40	37.418900	41
FAKETAG-	94	30	34	29.530307	35
FAKETAG-	15	37	40	38.093904	41
FAKETAG-	92	30	34	29.850251	35
FAKETAG-	10	37	39	36.952477	39
FAKETAG-	27	37	40	37.375288	41
FAKETAG-	30	36	39	37.270461	41
FAKETAG-	81	31	34	31.366936	35
FAKETAG-	17	37	40	38.063713	41
FAKETAG-	71	32	35	32.983667	37
FAKETAG-	35	36	39	37.027081	41
FAKETAG-	96	30	34	29.132032	35
FAKETAG-	62	33	37	34.606742	40
FAKETAG-	34	36	39	37.118578	41
FAKETAG-	47	34	38	35.774407	40
FAKETAG-	39	35	39	36.656900	40
FAKETAG-	80	31	34	31.502177	35
FAKETAG-	100	25	32	26.773448	34
FAKETAG-	91	30	34	29.961501	35
FAKETAG-	98	29	34	28.705140	35
FAKETAG-	56	34	38	35.221555	40
FAKETAG-	16	37	40	38.074838	41
FAKETAG-	4	35	37	34.688922	37
FAKETAG-	90	30	34	30.104368	35
FAKETAG-	33	36	39	37.179189	41
FAKETAG-	69	32	35	33.337209	38
FAKETAG-	78	31	34	31.674310	36
FAKETAG-	54	34	38	35.546916	40
FAKETAG-	40	35	39	36.558907	40
FAKETAG-	2	30	31	30.020540	34
FAKETAG-	74	31	35	32.371818	37
FAKETAG-	64	33	36	34.281196	39
FAKETAG-	50	35	38	35.978110	40
FAKETAG-	68	32	35	33.547846	39
FAKETAG-	87	31	34	30.525985	35
FAKETAG-	11	37	39	36.953503	39
FAKETAG-	42	35	38	36.352161	40
FAKETAG-	77	31	34	31.613114	36
FAKETAG-	82	31	34	31.229946	35
FAKETAG-	85	31	34	30.788963	35
FAKETAG-	76	30	34	31.408871	36
FAKETAG-	48	35	38	36.088066	40
FAKETAG-	60	33	37	34.785540	40
FAKETAG-	99	29	34	28.419040	35
FAKETAG-	93	30	34	29.712705	35
FAKETAG-	41	35	39	36.457452	40
FAKETAG-	28	37	40	37.452741	41
FAKETAG-	25	37	40	37.722758	41
FAKETAG-	0	31	31	31.555406	34
FAKETAG-	52	34	38	35.790630	40
FAKETAG-	20	37	40	38.038746	41
FAKETAG-	72	32	35	32.799283	37
FAKETAG-	44	35	38	36.142395	40
FAKETAG-	79	31	34	31.619234	36
FAKETAG-	66	33	36	33.930638	39
FAKETAG-	57	34	38	35.014137	40
FAKETAG-	6	35	37	35.211940	37
FAKETAG-	83	31	34	31.067430	35
FAKETAG-	36	36	39	36.928312	40
FAKETAG-	38	35	39	36.752719	40
FAKETAG-	3	35	35	33.898593	37
FAKETAG-	67	33	36	33.757548	39
FAKETAG-	21	37	40	37.880106	41
FAKETAG-	43	35	38	36.230689	40
FAKETAG-	61	33	37	34.727905	40
FAKETAG-	86	31	34	30.676484	35
FAKETAG-	70	32	35	33.163585	38
FAKETAG-	88	30	34	30.381745	35
FAKETAG-	84	31	34	30.935607	35
FAKETAG-	73	32	35	32.577400	37
FAKETAG-	1	31	31	31.173773	34
FAKETAG-	19	37	40	38.083252	41
FAKETAG-	75	29	34	30.920626	35
FAKETAG-	24	37	40	37.841548	41
FAKETAG-	89	30	34	30.231771	35
FAKETAG-	31	36	39	37.240697	41
FAKETAG-	37	36	39	36.827810	40
FAKETAG-	14	37	40	38.100845	41
FAKETAG-	97	29	34	28.912015	35
FAKETAG-	7	35	37	35.256578	37
FAKETAG-	59	33	37	34.748316	40
FAKETAG-	55	34	38	35.409408	40
FAKETAG-	18	37	40	38.109557	41
FAKETAG-	22	37	40	37.913326	41
FAKETAG-	5	35	37	34.879771	37
FAKETAG-	46	34	38	35.851163	40
FAKETAG-	63	33	37	34.483051	40
FAKETAG-	53	34	38	35.667772	40
FAKETAG-	58	33	37	34.863561	40
FAKETAG-	65	33	36	34.107788	39
FAKETAG-	9	37	39	36.852749	39
FAKETAG-	26	37	40	37.660126	41
FAKETAG-	8	37	39	36.917642	39
FAKETAG-	51	34	38	35.875420	40
FAKETAG-	12	37	39	36.890139	39
FAKETAG-	32	36	39	37.232826	41
FAKETAG-	23	37	40	37.901517	41
FAKETAG-	95	30	34	29.314700	35
FAKETAG-	13	37	40	38.131686	41
FAKETAG-	45	35	38	36.053732	40
