basename	readIndex	25%-percentile	median	averageQuality	75%-percentile
833-AMPK_KO-846-WT	49	35	39	36.160591	40
833-AMPK_KO-846-WT	29	37	40	37.465222	41
833-AMPK_KO-846-WT	94	30	34	29.606189	35
833-AMPK_KO-846-WT	15	37	40	38.121656	41
833-AMPK_KO-846-WT	92	30	34	29.887838	35
833-AMPK_KO-846-WT	10	37	39	36.968597	39
833-AMPK_KO-846-WT	27	37	40	37.434861	41
833-AMPK_KO-846-WT	30	36	40	37.321099	41
833-AMPK_KO-846-WT	81	31	34	31.456094	35
833-AMPK_KO-846-WT	17	37	40	38.087325	41
833-AMPK_KO-846-WT	71	32	35	33.054853	38
833-AMPK_KO-846-WT	35	36	39	37.073042	41
833-AMPK_KO-846-WT	96	30	34	29.233739	35
833-AMPK_KO-846-WT	62	33	37	34.721106	40
833-AMPK_KO-846-WT	34	36	39	37.171370	41
833-AMPK_KO-846-WT	47	34	38	35.854411	40
833-AMPK_KO-846-WT	39	35	39	36.735235	40
833-AMPK_KO-846-WT	80	31	34	31.580856	35
833-AMPK_KO-846-WT	100	25	32	26.881870	34
833-AMPK_KO-846-WT	91	30	34	30.029524	35
833-AMPK_KO-846-WT	98	29	34	28.796696	35
833-AMPK_KO-846-WT	56	34	38	35.316166	40
833-AMPK_KO-846-WT	16	37	40	38.103824	41
833-AMPK_KO-846-WT	4	35	37	34.706128	37
833-AMPK_KO-846-WT	90	30	34	30.184913	35
833-AMPK_KO-846-WT	33	36	39	37.240081	41
833-AMPK_KO-846-WT	69	32	35	33.428072	39
833-AMPK_KO-846-WT	78	31	34	31.759365	36
833-AMPK_KO-846-WT	54	34	38	35.644475	40
833-AMPK_KO-846-WT	40	35	39	36.611956	40
833-AMPK_KO-846-WT	2	30	31	30.040747	34
833-AMPK_KO-846-WT	74	32	35	32.438344	37
833-AMPK_KO-846-WT	64	33	36	34.402122	39
833-AMPK_KO-846-WT	50	35	38	36.077481	40
833-AMPK_KO-846-WT	68	32	35	33.643759	39
833-AMPK_KO-846-WT	87	31	34	30.613111	35
833-AMPK_KO-846-WT	11	37	39	36.986799	39
833-AMPK_KO-846-WT	42	35	38	36.423952	40
833-AMPK_KO-846-WT	77	31	34	31.695282	36
833-AMPK_KO-846-WT	82	31	34	31.322593	35
833-AMPK_KO-846-WT	85	31	34	30.868284	35
833-AMPK_KO-846-WT	76	30	34	31.494699	36
833-AMPK_KO-846-WT	48	35	38	36.186234	40
833-AMPK_KO-846-WT	60	34	37	34.888522	40
833-AMPK_KO-846-WT	99	29	34	28.507098	35
833-AMPK_KO-846-WT	93	30	34	29.768018	35
833-AMPK_KO-846-WT	41	35	39	36.520739	40
833-AMPK_KO-846-WT	28	37	40	37.509944	41
833-AMPK_KO-846-WT	25	37	40	37.758209	41
833-AMPK_KO-846-WT	0	31	31	31.571377	34
833-AMPK_KO-846-WT	52	34	38	35.909137	40
833-AMPK_KO-846-WT	20	37	40	38.055096	41
833-AMPK_KO-846-WT	72	32	35	32.869385	37
833-AMPK_KO-846-WT	44	35	38	36.209189	40
833-AMPK_KO-846-WT	79	31	35	31.683319	36
833-AMPK_KO-846-WT	66	33	36	34.045264	39
833-AMPK_KO-846-WT	57	34	38	35.114776	40
833-AMPK_KO-846-WT	6	35	37	35.231420	37
833-AMPK_KO-846-WT	83	31	34	31.165552	35
833-AMPK_KO-846-WT	36	36	39	36.988894	41
833-AMPK_KO-846-WT	38	36	39	36.834208	40
833-AMPK_KO-846-WT	3	35	37	33.921305	37
833-AMPK_KO-846-WT	67	33	36	33.863846	39
833-AMPK_KO-846-WT	21	37	40	37.914987	41
833-AMPK_KO-846-WT	43	35	38	36.305197	40
833-AMPK_KO-846-WT	61	34	37	34.847747	40
833-AMPK_KO-846-WT	86	31	34	30.756275	35
833-AMPK_KO-846-WT	70	32	35	33.241197	38
833-AMPK_KO-846-WT	88	31	34	30.467738	35
833-AMPK_KO-846-WT	84	31	34	31.025022	35
833-AMPK_KO-846-WT	73	32	35	32.642104	37
833-AMPK_KO-846-WT	1	31	31	31.213022	34
833-AMPK_KO-846-WT	19	37	40	38.108703	41
833-AMPK_KO-846-WT	75	30	34	30.996678	35
833-AMPK_KO-846-WT	24	37	40	37.876308	41
833-AMPK_KO-846-WT	89	30	34	30.325463	35
833-AMPK_KO-846-WT	31	36	39	37.282282	41
833-AMPK_KO-846-WT	37	36	39	36.902289	40
833-AMPK_KO-846-WT	14	37	40	38.129239	41
833-AMPK_KO-846-WT	97	30	34	29.016488	35
833-AMPK_KO-846-WT	7	35	37	35.278084	37
