basename	read-index	count-variation-bases	bases-at-index/all-variations-bases	bases-at-index/all-reference-bases	count-reference-bases	count-reference-bases-at-index
XUCJMBO-pickrell-NA19210_yale	1	0	0.0	0.000000	485571528	13572820
XUCJMBO-pickrell-NA19210_yale	2	411	1.4366143718062856E-4	0.000001	485571528	13891994
XUCJMBO-pickrell-NA19210_yale	3	50449	0.01763400448741005	0.000104	485571528	13917135
XUCJMBO-pickrell-NA19210_yale	4	57911	0.020242280994081218	0.000119	485571528	13922542
XUCJMBO-pickrell-NA19210_yale	5	58497	0.02044711214295676	0.000120	485571528	13929652
XUCJMBO-pickrell-NA19210_yale	6	55772	0.019494612346564518	0.000115	485571528	13938029
XUCJMBO-pickrell-NA19210_yale	7	159157	0.05563193030987178	0.000328	485571528	13839514
XUCJMBO-pickrell-NA19210_yale	8	69249	0.02420537922949233	0.000143	485571528	13933725
XUCJMBO-pickrell-NA19210_yale	9	53774	0.018796229009613433	0.000111	485571528	13952911
XUCJMBO-pickrell-NA19210_yale	10	52726	0.018429909821863315	0.000109	485571528	13956499
XUCJMBO-pickrell-NA19210_yale	11	85276	0.029807476197117475	0.000176	485571528	13926062
XUCJMBO-pickrell-NA19210_yale	12	58093	0.02030589749424393	0.000120	485571528	13953740
XUCJMBO-pickrell-NA19210_yale	13	49388	0.017263141263934023	0.000102	485571528	13962385
XUCJMBO-pickrell-NA19210_yale	14	50581	0.0176801439270885	0.000104	485571528	13961184
XUCJMBO-pickrell-NA19210_yale	15	203539	0.07114526827812155	0.000419	485571528	13808359
XUCJMBO-pickrell-NA19210_yale	16	52533	0.018362448368394065	0.000108	485571528	13960154
XUCJMBO-pickrell-NA19210_yale	17	55735	0.019481679321806163	0.000115	485571528	13956095
XUCJMBO-pickrell-NA19210_yale	18	58421	0.020420547011020685	0.000120	485571528	13953378
XUCJMBO-pickrell-NA19210_yale	19	67065	0.023441981227539793	0.000138	485571528	13944842
XUCJMBO-pickrell-NA19210_yale	20	70856	0.024767091953456492	0.000146	485571528	13941003
XUCJMBO-pickrell-NA19210_yale	21	74605	0.02607752194856641	0.000154	485571528	13937883
XUCJMBO-pickrell-NA19210_yale	22	113811	0.039781634615485444	0.000234	485571528	13898098
XUCJMBO-pickrell-NA19210_yale	23	65098	0.02275443366808895	0.000134	485571528	13946686
XUCJMBO-pickrell-NA19210_yale	24	65119	0.02276177403349234	0.000134	485571528	13946706
XUCJMBO-pickrell-NA19210_yale	25	68144	0.023819136192790153	0.000140	485571528	13942868
XUCJMBO-pickrell-NA19210_yale	26	95938	0.03353428457478137	0.000198	485571528	13911063
XUCJMBO-pickrell-NA19210_yale	27	101158	0.03535888968933826	0.000208	485571528	13901385
XUCJMBO-pickrell-NA19210_yale	28	110814	0.03873405961005882	0.000228	485571528	13884705
XUCJMBO-pickrell-NA19210_yale	29	129536	0.04527817013778565	0.000267	485571528	13857972
XUCJMBO-pickrell-NA19210_yale	30	190519	0.06659424172801989	0.000392	485571528	13784784
XUCJMBO-pickrell-NA19210_yale	31	129562	0.045287258209237465	0.000267	485571528	13832465
XUCJMBO-pickrell-NA19210_yale	32	282283	0.09866954129357512	0.000581	485571528	13649609
XUCJMBO-pickrell-NA19210_yale	33	124848	0.0436395209467813	0.000257	485571528	13769217
XUCJMBO-pickrell-NA19210_yale	34	25	8.738530242130692E-6	0.000000	485571528	13714395
XUCJMBO-pickrell-NA19210_yale	35	0	0.0	0.000000	485571528	13371669
