basename	readIndex	25%-percentile	median	averageQuality	75%-percentile
FAKETAG-XUCJMBO-pickrell-NA19210_yale	31	24	29	26.090914	32
FAKETAG-XUCJMBO-pickrell-NA19210_yale	5	31	33	31.229363	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	6	31	33	31.150454	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	7	31	33	31.227835	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	12	30	32	30.663552	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	1	32	33	31.758096	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	2	32	33	31.636952	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	13	29	32	30.348818	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	25	27	31	28.310547	32
FAKETAG-XUCJMBO-pickrell-NA19210_yale	28	25	30	27.303760	32
FAKETAG-XUCJMBO-pickrell-NA19210_yale	16	29	32	29.947297	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	27	26	30	27.703350	32
FAKETAG-XUCJMBO-pickrell-NA19210_yale	34	22	28	24.350436	31
FAKETAG-XUCJMBO-pickrell-NA19210_yale	21	28	31	29.123521	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	32	23	28	25.849698	31
FAKETAG-XUCJMBO-pickrell-NA19210_yale	15	29	32	30.045067	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	17	29	32	29.921324	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	22	28	31	29.020167	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	19	28	31	29.288802	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	4	31	33	31.312529	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	8	31	33	31.139521	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	11	30	32	30.819568	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	3	31	33	31.399144	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	30	24	29	26.769970	32
FAKETAG-XUCJMBO-pickrell-NA19210_yale	9	30	32	30.866689	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	26	26	30	28.090115	32
FAKETAG-XUCJMBO-pickrell-NA19210_yale	29	24	29	26.891326	32
FAKETAG-XUCJMBO-pickrell-NA19210_yale	33	23	28	25.318334	31
FAKETAG-XUCJMBO-pickrell-NA19210_yale	0	32	33	31.989674	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	18	28	31	29.599106	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	14	29	32	29.952192	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	24	27	31	28.677266	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	23	27	31	28.869045	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	20	27	31	28.914113	33
FAKETAG-XUCJMBO-pickrell-NA19210_yale	10	30	32	30.869319	33
