basename	readIndex	25%-percentile	median	averageQuality	75%-percentile
FAKETAG-ZBQVITF-pickrell-NA19203_yale	31	19	27	23.562010	31
FAKETAG-ZBQVITF-pickrell-NA19203_yale	5	31	33	31.513779	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	6	32	33	31.714217	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	7	32	33	31.651354	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	12	30	33	30.869522	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	1	32	33	31.957149	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	2	32	33	31.829633	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	13	30	32	30.658042	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	25	24	30	26.612146	32
FAKETAG-ZBQVITF-pickrell-NA19203_yale	28	22	28	25.171623	32
FAKETAG-ZBQVITF-pickrell-NA19203_yale	16	29	32	29.832700	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	27	22	29	25.685140	32
FAKETAG-ZBQVITF-pickrell-NA19203_yale	34	15	26	21.646278	30
FAKETAG-ZBQVITF-pickrell-NA19203_yale	21	26	31	28.065877	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	32	18	27	22.976910	31
FAKETAG-ZBQVITF-pickrell-NA19203_yale	15	29	32	30.199673	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	17	28	32	29.520667	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	22	26	31	27.932762	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	19	27	31	28.770517	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	4	32	33	31.587622	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	8	31	33	31.421610	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	11	31	33	31.039637	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	3	32	33	31.722098	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	30	20	28	24.257073	31
FAKETAG-ZBQVITF-pickrell-NA19203_yale	9	31	33	30.993814	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	26	23	29	26.136967	32
FAKETAG-ZBQVITF-pickrell-NA19203_yale	29	21	28	24.769010	32
FAKETAG-ZBQVITF-pickrell-NA19203_yale	33	17	26	22.470500	31
FAKETAG-ZBQVITF-pickrell-NA19203_yale	0	32	33	32.005631	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	18	28	32	29.249673	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	14	30	32	30.434442	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	24	25	30	27.315226	32
FAKETAG-ZBQVITF-pickrell-NA19203_yale	23	26	31	27.661967	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	20	27	31	28.439005	33
FAKETAG-ZBQVITF-pickrell-NA19203_yale	10	31	33	31.089710	33
