basename	read-index	count-variation-bases	bases-at-index/all-variations-bases	bases-at-index/all-reference-bases	count-reference-bases	count-reference-bases-at-index
ZBQVITF-pickrell-NA19203_yale	1	0	0.0	0.000000	433688223	11924588
ZBQVITF-pickrell-NA19203_yale	2	11	4.000772512801563E-6	0.000000	433688223	12399593
ZBQVITF-pickrell-NA19203_yale	3	53196	0.019347735871908356	0.000123	433688223	12440034
ZBQVITF-pickrell-NA19203_yale	4	53536	0.019471396113213132	0.000123	433688223	12457862
ZBQVITF-pickrell-NA19203_yale	5	52967	0.01926444706232367	0.000122	433688223	12468637
ZBQVITF-pickrell-NA19203_yale	6	45027	0.01637661672126509	0.000104	433688223	12485395
ZBQVITF-pickrell-NA19203_yale	7	45850	0.01667594724654106	0.000106	433688223	12491144
ZBQVITF-pickrell-NA19203_yale	8	44796	0.016292600498496256	0.000103	433688223	12497300
ZBQVITF-pickrell-NA19203_yale	9	43111	0.01567975489085347	0.000099	433688223	12503731
ZBQVITF-pickrell-NA19203_yale	10	39723	0.01444751695691059	0.000092	433688223	12510484
ZBQVITF-pickrell-NA19203_yale	11	41194	0.014982529353849779	0.000095	433688223	12511651
ZBQVITF-pickrell-NA19203_yale	12	41631	0.015141469134585623	0.000096	433688223	12511862
ZBQVITF-pickrell-NA19203_yale	13	40857	0.014859960232321223	0.000094	433688223	12512531
ZBQVITF-pickrell-NA19203_yale	14	82928	0.030161460267418908	0.000191	433688223	12470497
ZBQVITF-pickrell-NA19203_yale	15	41386	0.01505236101952777	0.000095	433688223	12512108
ZBQVITF-pickrell-NA19203_yale	16	43887	0.015961991206302015	0.000101	433688223	12509759
ZBQVITF-pickrell-NA19203_yale	17	48068	0.017482648467758682	0.000111	433688223	12505443
ZBQVITF-pickrell-NA19203_yale	18	47406	0.017241874703806444	0.000109	433688223	12506090
ZBQVITF-pickrell-NA19203_yale	19	50834	0.018488660901432242	0.000117	433688223	12502873
ZBQVITF-pickrell-NA19203_yale	20	55341	0.020127886511904662	0.000128	433688223	12498267
ZBQVITF-pickrell-NA19203_yale	21	61161	0.02224465887776876	0.000141	433688223	12492451
ZBQVITF-pickrell-NA19203_yale	22	68281	0.024834249813327592	0.000157	433688223	12485212
ZBQVITF-pickrell-NA19203_yale	23	71761	0.02609994875374118	0.000165	433688223	12481740
ZBQVITF-pickrell-NA19203_yale	24	79880	0.0290528825747808	0.000184	433688223	12473660
ZBQVITF-pickrell-NA19203_yale	25	91941	0.03343954778177168	0.000212	433688223	12460341
ZBQVITF-pickrell-NA19203_yale	26	141986	0.05164124418205843	0.000327	433688223	12404957
ZBQVITF-pickrell-NA19203_yale	27	151951	0.05526558037206457	0.000350	433688223	12388196
ZBQVITF-pickrell-NA19203_yale	28	167259	0.060833200883516056	0.000386	433688223	12362555
ZBQVITF-pickrell-NA19203_yale	29	184634	0.06715260292078216	0.000426	433688223	12332497
ZBQVITF-pickrell-NA19203_yale	30	195199	0.07099516306603203	0.000450	433688223	12302613
ZBQVITF-pickrell-NA19203_yale	31	211224	0.07682356120399976	0.000487	433688223	12261714
ZBQVITF-pickrell-NA19203_yale	32	209952	0.07636092641888306	0.000484	433688223	12211018
ZBQVITF-pickrell-NA19203_yale	33	233775	0.08502550856183504	0.000539	433688223	12119114
ZBQVITF-pickrell-NA19203_yale	34	8716	0.003170066656507129	0.000020	433688223	12056215
ZBQVITF-pickrell-NA19203_yale	35	0	0.0	0.000000	433688223	11636091
