basename	readIndex	25%-percentile	median	averageQuality	75%-percentile
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	41	22	28	24.803501	31
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	38	21	28	24.600405	31
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	31	25	30	27.060782	32
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	5	31	33	31.310696	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	6	31	33	31.317400	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	7	31	33	31.490863	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	12	30	33	30.791527	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	1	32	33	31.842834	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	2	32	33	31.570926	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	13	30	32	30.793564	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	25	28	31	28.743572	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	39	21	28	24.552379	31
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	28	26	31	27.986794	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	16	30	32	30.517132	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	36	21	28	24.803465	31
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	42	21	28	24.256535	31
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	45	18	27	22.475892	31
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	43	19	27	23.332583	30
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	35	22	28	25.152819	31
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	27	27	31	28.308304	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	44	19	26	22.690015	30
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	37	22	28	24.985219	31
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	34	22	28	25.290585	31
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	21	29	32	29.853659	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	32	24	29	26.304904	32
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	15	30	32	30.530575	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	17	30	32	30.261142	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	22	29	32	29.582154	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	19	29	32	30.154939	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	4	31	33	30.894567	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	8	31	33	31.288146	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	11	30	33	30.858172	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	3	31	33	31.304194	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	30	26	30	27.561629	32
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	9	31	33	31.215212	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	26	27	31	28.439627	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	29	26	30	27.708124	32
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	33	22	28	25.597764	31
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	40	21	28	24.719494	31
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	0	32	33	31.998768	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	18	29	32	30.259140	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	14	30	32	30.675684	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	24	28	32	29.194462	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	23	28	32	29.322717	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	20	29	32	29.958073	33
pickrell-NA19204_argonne-WFJBKXL-pickrell-NA19204_argonne	10	31	33	31.142954	33
