basename	readIndex	25%-percentile	median	averageQuality	75%-percentile
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	41	19	26	23.264026	30
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	38	19	26	23.359974	30
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	31	25	30	27.097805	32
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	5	31	33	30.922411	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	6	31	33	30.888600	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	7	31	33	31.066889	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	12	30	32	30.343032	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	1	30	33	30.243773	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	2	30	33	30.298044	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	13	30	32	30.357543	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	25	26	30	28.033237	32
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	39	19	26	23.500910	30
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	28	26	30	27.617526	32
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	16	29	32	29.905017	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	36	21	28	24.776235	31
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	42	19	25	22.723735	30
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	45	19	27	22.571659	31
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	43	19	26	22.938192	30
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	35	22	28	25.093908	31
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	27	26	30	27.767709	32
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	44	18	26	22.370552	30
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	37	20	26	23.744073	30
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	34	24	29	26.168566	32
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	21	27	31	28.655698	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	32	25	30	26.845469	32
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	15	29	32	30.200178	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	17	28	32	29.475906	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	22	27	30	28.493129	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	19	27	31	28.811120	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	4	30	33	30.714439	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	8	30	33	30.714403	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	11	30	32	30.524228	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	3	30	33	30.244177	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	30	25	30	27.330658	32
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	9	30	32	30.431957	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	26	26	30	27.704240	32
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	29	26	30	27.618296	32
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	33	24	29	26.432812	32
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	40	19	26	22.985342	30
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	0	32	33	32.077565	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	18	28	31	29.054601	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	14	30	32	30.316868	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	24	26	30	28.282397	32
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	23	26	30	28.371920	32
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	20	27	31	28.606606	33
FAKETAG-AXNKJBI-pickrell-NA19222_argonne	10	30	32	30.510010	33
