basename	readIndex	25%-percentile	median	averageQuality	75%-percentile
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	41	25	30	27.391608	32
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	38	26	31	28.050257	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	31	27	31	28.542965	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	5	30	33	30.816701	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	6	30	33	30.846455	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	7	31	33	30.925607	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	12	30	32	30.440323	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	1	31	33	31.339378	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	2	31	33	31.091811	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	13	30	32	30.355792	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	25	28	32	29.261841	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	39	26	30	27.736521	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	28	28	31	28.978757	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	16	29	32	30.274824	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	36	27	31	28.288320	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	42	25	30	27.145057	32
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	45	24	31	26.095888	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	43	24	29	26.197274	32
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	35	26	30	27.854250	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	27	28	32	29.110114	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	44	23	31	25.956557	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	37	26	30	27.877980	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	34	26	31	28.101781	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	21	29	32	29.724316	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	32	27	31	28.455338	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	15	29	32	30.281901	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	17	30	32	30.310687	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	22	29	32	29.728727	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	19	29	32	30.095876	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	4	30	32	30.624100	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	8	31	33	30.901769	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	11	30	32	30.577071	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	3	31	33	30.957095	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	30	27	31	28.666324	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	9	30	33	30.705344	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	26	28	32	29.139319	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	29	28	31	28.899402	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	33	27	31	28.313234	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	40	26	31	27.914477	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	0	32	33	31.709277	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	18	29	32	30.213389	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	14	30	32	30.438828	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	24	29	32	29.682534	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	23	29	32	29.767974	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	20	29	32	29.860490	33
pickrell-NA19210_argonne-IKKOOYO-pickrell-NA19210_argonne	10	30	32	30.686455	33
