basename	readIndex	25%-percentile	median	averageQuality	75%-percentile
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	31	18	26	22.973964	31
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	5	28	32	29.765213	33
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	6	30	32	30.390646	33
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	7	29	32	30.301683	33
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	12	28	32	29.274339	33
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	1	30	33	30.059855	33
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	2	29	32	30.006298	33
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	13	27	31	29.050685	33
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	25	21	27	24.595871	31
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	28	19	26	23.699426	31
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	16	25	30	27.707343	32
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	27	20	27	24.199259	31
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	34	14	24	20.828517	29
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	21	23	29	26.226348	32
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	32	18	25	22.490896	30
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	15	26	30	28.070667	33
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	17	24	29	27.186674	32
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	22	22	28	25.678391	32
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	19	24	29	26.939002	32
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	4	28	32	29.569835	33
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	8	29	32	29.991772	33
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	11	28	32	29.278043	33
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	3	28	32	29.737991	33
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	30	19	26	23.529872	31
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	9	27	31	29.116850	33
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	26	20	27	24.123215	31
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	29	19	26	23.585248	31
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	33	17	25	21.944369	30
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	0	32	33	31.720893	33
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	18	24	29	26.847368	32
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	14	26	31	28.611339	33
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	24	21	28	25.163011	31
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	23	22	28	25.550275	32
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	20	23	29	26.487392	32
pickrell-NA19239_yale-HRXABYP-pickrell-NA19239_yale	10	28	32	29.575368	33
