basename	read-index	count-variation-bases	bases-at-index/all-variations-bases	bases-at-index/all-reference-bases	count-reference-bases	count-reference-bases-at-index
HRXABYP-pickrell-NA19239_yale	1	0	0.0	0.000000	401751243	10973150
HRXABYP-pickrell-NA19239_yale	2	160839	0.06490932050205354	0.000400	401751243	11206661
HRXABYP-pickrell-NA19239_yale	3	152372	0.061492318303016706	0.000379	401751243	11384529
HRXABYP-pickrell-NA19239_yale	4	62377	0.02517330177977104	0.000155	401751243	11499210
HRXABYP-pickrell-NA19239_yale	5	61898	0.0249799931635742	0.000154	401751243	11514067
HRXABYP-pickrell-NA19239_yale	6	57766	0.023312454119471183	0.000144	401751243	11528396
HRXABYP-pickrell-NA19239_yale	7	47696	0.019248533941804823	0.000119	401751243	11547411
HRXABYP-pickrell-NA19239_yale	8	46627	0.018817120767035674	0.000116	401751243	11555821
HRXABYP-pickrell-NA19239_yale	9	46146	0.018623005016741977	0.000115	401751243	11563282
HRXABYP-pickrell-NA19239_yale	10	51686	0.02085876646503112	0.000129	401751243	11562776
HRXABYP-pickrell-NA19239_yale	11	47529	0.01918113824471741	0.000118	401751243	11570848
HRXABYP-pickrell-NA19239_yale	12	46634	0.018819945736374667	0.000116	401751243	11572214
HRXABYP-pickrell-NA19239_yale	13	46547	0.018784835403161462	0.000116	401751243	11572453
HRXABYP-pickrell-NA19239_yale	14	44787	0.018074557397928813	0.000111	401751243	11574178
HRXABYP-pickrell-NA19239_yale	15	42861	0.017297287262657175	0.000107	401751243	11576243
HRXABYP-pickrell-NA19239_yale	16	47595	0.019207773669913632	0.000118	401751243	11571598
HRXABYP-pickrell-NA19239_yale	17	48291	0.019488656335619272	0.000120	401751243	11571082
HRXABYP-pickrell-NA19239_yale	18	54262	0.021898355181780724	0.000135	401751243	11564980
HRXABYP-pickrell-NA19239_yale	19	59847	0.024152277147249105	0.000149	401751243	11559407
HRXABYP-pickrell-NA19239_yale	20	54238	0.02188866957261846	0.000135	401751243	11564816
HRXABYP-pickrell-NA19239_yale	21	56010	0.02260379038243224	0.000139	401751243	11563210
HRXABYP-pickrell-NA19239_yale	22	56985	0.022997268254649192	0.000142	401751243	11562149
HRXABYP-pickrell-NA19239_yale	23	60572	0.024444863257359145	0.000151	401751243	11558733
HRXABYP-pickrell-NA19239_yale	24	64247	0.025927972160330732	0.000160	401751243	11554758
HRXABYP-pickrell-NA19239_yale	25	69335	0.027981321302730577	0.000173	401751243	11548840
HRXABYP-pickrell-NA19239_yale	26	102950	0.041547227635625766	0.000256	401751243	11509866
HRXABYP-pickrell-NA19239_yale	27	118299	0.04774157826194165	0.000294	401751243	11488171
HRXABYP-pickrell-NA19239_yale	28	113498	0.04580405286244054	0.000283	401751243	11484699
HRXABYP-pickrell-NA19239_yale	29	121785	0.04914841299276041	0.000303	401751243	11467152
HRXABYP-pickrell-NA19239_yale	30	128062	0.05168160335574072	0.000319	401751243	11448408
HRXABYP-pickrell-NA19239_yale	31	132732	0.05356626147189781	0.000330	401751243	11429083
HRXABYP-pickrell-NA19239_yale	32	140146	0.05655830756894035	0.000349	401751243	11393627
HRXABYP-pickrell-NA19239_yale	33	130581	0.05269818875072995	0.000325	401751243	11366504
HRXABYP-pickrell-NA19239_yale	34	2703	0.001090841731899917	0.000007	401751243	11321403
HRXABYP-pickrell-NA19239_yale	35	0	0.0	0.000000	401751243	11021518
