basename	readIndex	25%-percentile	median	averageQuality	75%-percentile
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	31	-14	-6	-8.839277	-1
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	5	-2	1	-1.068919	2
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	6	-1	1	-0.641898	2
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	7	-2	1	-0.762873	2
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	12	-4	0	-1.978590	2
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	1	0	2	0.336080	2
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	2	-1	2	-0.395908	2
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	13	-4	0	-2.412568	2
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	25	-11	-4	-7.057045	0
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	28	-12	-5	-7.988042	-1
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	16	-7	-1	-3.706740	1
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	27	-12	-5	-7.886738	-1
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	34	-27	-8	-11.183441	-2
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	21	-9	-3	-5.440095	0
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	32	-15	-6	-9.326856	-1
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	15	-6	-1	-3.242597	1
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	17	-7	-2	-4.044631	1
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	22	-9	-3	-5.763149	0
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	19	-8	-3	-4.931357	1
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	4	-3	1	-1.307821	2
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	8	-3	1	-1.521848	2
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	11	-3	0	-1.656232	2
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	3	-2	1	-0.965025	2
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	30	-13	-5	-7.995862	-1
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	9	-4	0	-2.206062	2
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	26	-12	-5	-7.433654	-1
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	29	-12	-5	-7.709546	-1
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	33	-17	-7	-10.111295	-2
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	0	1	2	0.682247	2
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	18	-7	-2	-4.332482	1
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	14	-6	-1	-3.026747	1
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	24	-10	-4	-6.429312	0
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	23	-10	-3	-6.025380	0
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	20	-8	-2	-4.810766	1
pickrell-NA19238_yale-OMVLDZB-pickrell-NA19238_yale	10	-3	0	-1.675518	2
