basename	readIndex	25%-percentile	median	averageQuality	75%-percentile
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	31	16	25	22.041005	30
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	5	28	32	29.408725	33
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	6	29	32	29.783122	33
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	7	29	32	29.811039	33
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	12	27	31	28.833756	33
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	1	28	32	29.706423	33
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	2	28	32	29.575278	33
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	13	27	31	28.578385	33
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	25	20	28	24.378627	31
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	28	18	27	23.222871	31
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	16	25	30	27.484213	32
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	27	19	27	23.557475	31
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	34	4	25	20.501289	30
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	21	23	29	26.071940	32
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	32	15	26	21.899967	30
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	15	26	30	27.980390	32
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	17	23	29	26.641423	32
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	22	23	29	26.179244	32
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	19	22	28	25.845059	32
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	4	28	32	29.510962	33
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	8	28	32	29.493247	33
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	11	27	31	29.065859	33
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	3	28	31	29.395571	33
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	30	16	25	22.119379	30
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	9	27	31	29.132753	33
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	26	20	27	23.994800	31
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	29	17	26	22.723962	31
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	33	13	25	21.388476	30
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	0	30	32	30.343043	33
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	18	22	28	26.105696	32
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	14	26	31	28.331982	33
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	24	22	28	25.333062	32
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	23	23	29	25.943528	32
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	20	22	28	25.898182	32
pickrell-NA19222_yale-UGWCTUQ-pickrell-NA19222_yale	10	28	31	29.157827	33
