basename	readIndex	25%-percentile	median	averageQuality	75%-percentile
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	41	20	28	23.941425	31
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	38	21	28	24.504897	31
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	31	24	30	26.565395	32
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	5	32	33	31.656973	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	6	32	33	31.840139	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	7	32	33	31.843238	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	12	31	33	31.245435	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	1	32	33	32.103046	34
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	2	32	33	32.067819	34
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	13	31	33	31.056782	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	25	27	31	27.992441	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	39	21	28	24.487403	31
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	28	25	30	27.172896	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	16	30	32	30.552641	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	36	22	29	25.154224	32
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	42	20	28	23.930788	32
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	45	17	27	22.145963	31
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	43	19	27	23.326267	31
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	35	22	29	25.256212	32
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	27	26	31	27.583991	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	44	18	26	22.516831	31
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	37	21	28	24.793939	32
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	34	22	29	25.494465	32
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	21	29	32	29.630169	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	32	23	30	26.124807	32
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	15	30	33	30.756498	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	17	30	32	30.534477	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	22	29	32	29.179073	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	19	30	32	29.974438	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	4	32	33	31.681130	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	8	32	33	31.744824	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	11	31	33	31.386505	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	3	32	33	31.824977	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	30	24	30	26.693280	32
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	9	32	33	31.544930	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	26	27	31	27.875549	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	29	25	30	26.935874	32
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	33	23	29	25.850862	32
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	40	21	28	24.394853	31
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	0	33	33	32.094763	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	18	30	32	30.304129	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	14	31	33	30.801585	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	24	28	32	28.560848	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	23	28	32	28.942980	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	20	29	32	29.814912	33
pickrell-NA19203_argonne-AHSSOOT-pickrell-NA19203_argonne	10	32	33	31.536107	33
