basename	readIndex	25%-percentile	median	averageQuality	75%-percentile
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	31	23	28	25.571903	31
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	5	31	33	31.509976	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	6	32	33	31.635069	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	7	31	33	31.571815	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	12	30	32	30.554342	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	1	32	33	31.836447	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	2	32	33	31.635459	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	13	29	32	30.346804	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	25	26	30	28.085725	32
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	28	25	29	27.183339	32
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	16	29	32	29.817334	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	27	26	30	27.601470	32
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	34	20	26	22.991019	30
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	21	28	31	29.342001	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	32	22	28	24.830190	31
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	15	29	32	29.874819	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	17	29	32	30.096990	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	22	28	31	29.136387	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	19	29	32	29.733240	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	4	31	33	31.430655	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	8	31	33	31.443637	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	11	30	32	30.959841	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	3	31	33	31.440787	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	30	24	29	26.328550	32
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	9	31	33	31.164910	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	26	26	30	27.831684	32
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	29	24	29	26.768420	32
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	33	21	27	24.026219	31
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	0	32	33	32.164070	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	18	29	32	29.983532	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	14	29	32	30.132258	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	24	27	30	28.303825	32
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	23	27	31	28.772617	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	20	28	31	29.435633	33
pickrell-NA19238_yale-SJIECZO-pickrell-NA19209_yale	10	31	33	31.135391	33
