basename	read-index	count-variation-bases	bases-at-index/all-variations-bases	bases-at-index/all-reference-bases	count-reference-bases	count-reference-bases-at-index
IKKOOYO-pickrell-NA19210_argonne	1	0	0.0	0.000000	472507898	10127142
IKKOOYO-pickrell-NA19210_argonne	2	5	1.5612973131634537E-6	0.000000	472507898	10295786
IKKOOYO-pickrell-NA19210_argonne	3	44165	0.013790939167172786	0.000093	472507898	10307460
IKKOOYO-pickrell-NA19210_argonne	4	52988	0.01654600440598102	0.000112	472507898	10307124
IKKOOYO-pickrell-NA19210_argonne	5	58529	0.018276234088428756	0.000124	472507898	10307329
IKKOOYO-pickrell-NA19210_argonne	6	53451	0.016690580537179953	0.000113	472507898	10316714
IKKOOYO-pickrell-NA19210_argonne	7	55505	0.017331961473427502	0.000117	472507898	10318236
IKKOOYO-pickrell-NA19210_argonne	8	54792	0.01710932047657039	0.000116	472507898	10322027
IKKOOYO-pickrell-NA19210_argonne	9	52067	0.01625841344089631	0.000110	472507898	10328050
IKKOOYO-pickrell-NA19210_argonne	10	50433	0.015748181478954494	0.000107	472507898	10332201
IKKOOYO-pickrell-NA19210_argonne	11	50622	0.01580719851739207	0.000107	472507898	10334054
IKKOOYO-pickrell-NA19210_argonne	12	57921	0.018086380335148082	0.000123	472507898	10328168
IKKOOYO-pickrell-NA19210_argonne	13	52438	0.016374261701533038	0.000111	472507898	10334368
IKKOOYO-pickrell-NA19210_argonne	14	52791	0.016484489291842378	0.000112	472507898	10335023
IKKOOYO-pickrell-NA19210_argonne	15	48111	0.015023115006721386	0.000102	472507898	10339901
IKKOOYO-pickrell-NA19210_argonne	16	50967	0.01591492803200035	0.000108	472507898	10337757
IKKOOYO-pickrell-NA19210_argonne	17	51231	0.01599736453013538	0.000108	472507898	10336713
IKKOOYO-pickrell-NA19210_argonne	18	50197	0.015674488245773176	0.000106	472507898	10337723
IKKOOYO-pickrell-NA19210_argonne	19	53466	0.016695264429119443	0.000113	472507898	10334570
IKKOOYO-pickrell-NA19210_argonne	20	53563	0.016725553596994815	0.000113	472507898	10334443
IKKOOYO-pickrell-NA19210_argonne	21	55492	0.017327902100413274	0.000117	472507898	10332949
IKKOOYO-pickrell-NA19210_argonne	22	55653	0.017378175873897138	0.000118	472507898	10332373
IKKOOYO-pickrell-NA19210_argonne	23	58081	0.01813634184916931	0.000123	472507898	10329880
IKKOOYO-pickrell-NA19210_argonne	24	57719	0.018023303923696277	0.000122	472507898	10330290
IKKOOYO-pickrell-NA19210_argonne	25	56951	0.01778348865639437	0.000121	472507898	10331082
IKKOOYO-pickrell-NA19210_argonne	26	86105	0.02688710102998784	0.000182	472507898	10301825
IKKOOYO-pickrell-NA19210_argonne	27	89718	0.028015294468479748	0.000190	472507898	10298576
IKKOOYO-pickrell-NA19210_argonne	28	90331	0.02820670951907359	0.000191	472507898	10297635
IKKOOYO-pickrell-NA19210_argonne	29	90265	0.02818610039453983	0.000191	472507898	10297731
IKKOOYO-pickrell-NA19210_argonne	30	94654	0.02955660717603471	0.000200	472507898	10293439
IKKOOYO-pickrell-NA19210_argonne	31	94847	0.02961687325232282	0.000201	472507898	10293116
IKKOOYO-pickrell-NA19210_argonne	32	96814	0.030231087615321322	0.000205	472507898	10291151
IKKOOYO-pickrell-NA19210_argonne	33	98478	0.030750687361142122	0.000208	472507898	10288592
IKKOOYO-pickrell-NA19210_argonne	34	103435	0.03229855751741237	0.000219	472507898	10279862
IKKOOYO-pickrell-NA19210_argonne	35	108821	0.03398038698315204	0.000230	472507898	10270176
IKKOOYO-pickrell-NA19210_argonne	36	103737	0.03239285987512744	0.000220	472507898	10269197
IKKOOYO-pickrell-NA19210_argonne	37	104701	0.03269387799710535	0.000222	472507898	10261070
IKKOOYO-pickrell-NA19210_argonne	38	115372	0.0360259987228588	0.000244	472507898	10241957
IKKOOYO-pickrell-NA19210_argonne	39	112916	0.035259089482632906	0.000239	472507898	10235003
IKKOOYO-pickrell-NA19210_argonne	40	122989	0.038404479049732	0.000260	472507898	10214143
IKKOOYO-pickrell-NA19210_argonne	41	120037	0.0374826891160403	0.000254	472507898	10203526
IKKOOYO-pickrell-NA19210_argonne	42	120216	0.037538583559851554	0.000254	472507898	10187931
IKKOOYO-pickrell-NA19210_argonne	43	111246	0.03473761618003632	0.000235	472507898	10170287
IKKOOYO-pickrell-NA19210_argonne	44	110579	0.03452933911846031	0.000234	472507898	10136647
IKKOOYO-pickrell-NA19210_argonne	45	66	2.060912453375759E-5	0.000000	472507898	9992578
IKKOOYO-pickrell-NA19210_argonne	46	0	0.0	0.000000	472507898	9712093
