basename	read-index	count-variation-bases	bases-at-index/all-variations-bases	bases-at-index/all-reference-bases	count-reference-bases	count-reference-bases-at-index
AXNKJBI-pickrell-NA19222_argonne	1	0	0.0	0.000000	469356548	9809680
AXNKJBI-pickrell-NA19222_argonne	2	2108	5.118978613208471E-4	0.000004	469356548	10071117
AXNKJBI-pickrell-NA19222_argonne	3	200250	0.04862786846750456	0.000427	469356548	10092687
AXNKJBI-pickrell-NA19222_argonne	4	142812	0.03467986592549943	0.000304	469356548	10170490
AXNKJBI-pickrell-NA19222_argonne	5	48144	0.0116910866391987	0.000103	469356548	10287767
AXNKJBI-pickrell-NA19222_argonne	6	66193	0.01607402994991026	0.000141	469356548	10278647
AXNKJBI-pickrell-NA19222_argonne	7	105451	0.025607277691719468	0.000225	469356548	10247209
AXNKJBI-pickrell-NA19222_argonne	8	43876	0.010654663455082298	0.000093	469356548	10315467
AXNKJBI-pickrell-NA19222_argonne	9	91185	0.022142982203292902	0.000194	469356548	10274159
AXNKJBI-pickrell-NA19222_argonne	10	54238	0.013170927989715418	0.000116	469356548	10316484
AXNKJBI-pickrell-NA19222_argonne	11	38535	0.009357677460151252	0.000082	469356548	10335990
AXNKJBI-pickrell-NA19222_argonne	12	49778	0.012087880332461633	0.000106	469356548	10328217
AXNKJBI-pickrell-NA19222_argonne	13	138835	0.03371410795848188	0.000296	469356548	10241511
AXNKJBI-pickrell-NA19222_argonne	14	37817	0.009183321357481249	0.000081	469356548	10344451
AXNKJBI-pickrell-NA19222_argonne	15	37117	0.009013336299167875	0.000079	469356548	10345505
AXNKJBI-pickrell-NA19222_argonne	16	46815	0.01136835786420088	0.000100	469356548	10335727
AXNKJBI-pickrell-NA19222_argonne	17	48708	0.011828046029039762	0.000104	469356548	10333891
AXNKJBI-pickrell-NA19222_argonne	18	84716	0.02057207742867973	0.000180	469356548	10297935
AXNKJBI-pickrell-NA19222_argonne	19	120316	0.029217031822902768	0.000256	469356548	10262267
AXNKJBI-pickrell-NA19222_argonne	20	47501	0.011534943221347986	0.000101	469356548	10335144
AXNKJBI-pickrell-NA19222_argonne	21	52128	0.01265854445679939	0.000111	469356548	10330569
AXNKJBI-pickrell-NA19222_argonne	22	53142	0.012904779955556193	0.000113	469356548	10329589
AXNKJBI-pickrell-NA19222_argonne	23	46331	0.011250825338167061	0.000099	469356548	10336401
AXNKJBI-pickrell-NA19222_argonne	24	57731	0.014019153430699156	0.000123	469356548	10325128
AXNKJBI-pickrell-NA19222_argonne	25	45057	0.01094145253203672	0.000096	469356548	10337562
AXNKJBI-pickrell-NA19222_argonne	26	57208	0.013892150308559306	0.000122	469356548	10325508
AXNKJBI-pickrell-NA19222_argonne	27	228230	0.055422414084087726	0.000486	469356548	10154483
AXNKJBI-pickrell-NA19222_argonne	28	60887	0.014785543207894884	0.000130	469356548	10321737
AXNKJBI-pickrell-NA19222_argonne	29	82202	0.01996158823353713	0.000175	469356548	10300410
AXNKJBI-pickrell-NA19222_argonne	30	66187	0.016072572935124717	0.000141	469356548	10316465
AXNKJBI-pickrell-NA19222_argonne	31	67931	0.016496078566122608	0.000145	469356548	10314778
AXNKJBI-pickrell-NA19222_argonne	32	74637	0.018124535424764734	0.000159	469356548	10307974
AXNKJBI-pickrell-NA19222_argonne	33	81490	0.01978868914565267	0.000174	469356548	10299835
AXNKJBI-pickrell-NA19222_argonne	34	96725	0.023488292521944464	0.000206	469356548	10274380
AXNKJBI-pickrell-NA19222_argonne	35	100843	0.024488290336422285	0.000215	469356548	10257353
AXNKJBI-pickrell-NA19222_argonne	36	169968	0.041274314844867994	0.000362	469356548	10169706
AXNKJBI-pickrell-NA19222_argonne	37	173347	0.04209485700492641	0.000369	469356548	10144316
AXNKJBI-pickrell-NA19222_argonne	38	136149	0.0330618510061537	0.000290	469356548	10153359
AXNKJBI-pickrell-NA19222_argonne	39	185832	0.04512666193784424	0.000396	469356548	10075424
AXNKJBI-pickrell-NA19222_argonne	40	233228	0.05663610740044522	0.000497	469356548	9995487
AXNKJBI-pickrell-NA19222_argonne	41	193895	0.047084646973816716	0.000413	469356548	9994872
AXNKJBI-pickrell-NA19222_argonne	42	218038	0.05294743163504499	0.000465	469356548	9926947
AXNKJBI-pickrell-NA19222_argonne	43	128970	0.03131853281525125	0.000275	469356548	9960268
AXNKJBI-pickrell-NA19222_argonne	44	103265	0.025076438638186562	0.000220	469356548	9919454
AXNKJBI-pickrell-NA19222_argonne	45	193	4.686730893497319E-5	0.000000	469356548	9854680
AXNKJBI-pickrell-NA19222_argonne	46	0	0.0	0.000000	469356548	9605518
