basename	read-index	count-variation-bases	bases-at-index/all-variations-bases	bases-at-index/all-reference-bases	count-reference-bases	count-reference-bases-at-index
OMVLDZB-pickrell-NA19238_yale	1	0	0.0	0.000000	408603122	11188911
OMVLDZB-pickrell-NA19238_yale	2	0	0.0	0.000000	408603122	11626003
OMVLDZB-pickrell-NA19238_yale	3	147331	0.05325093043017193	0.000361	408603122	11589743
OMVLDZB-pickrell-NA19238_yale	4	116091	0.041959626721932854	0.000284	408603122	11645840
OMVLDZB-pickrell-NA19238_yale	5	62687	0.02265742495385348	0.000153	408603122	11715117
OMVLDZB-pickrell-NA19238_yale	6	60407	0.021833347730588915	0.000148	408603122	11728397
OMVLDZB-pickrell-NA19238_yale	7	50373	0.01820668507346757	0.000123	408603122	11747683
OMVLDZB-pickrell-NA19238_yale	8	47965	0.017336343865739026	0.000117	408603122	11757805
OMVLDZB-pickrell-NA19238_yale	9	51549	0.018631735430730347	0.000126	408603122	11761073
OMVLDZB-pickrell-NA19238_yale	10	84473	0.030531699684573598	0.000207	408603122	11733346
OMVLDZB-pickrell-NA19238_yale	11	46374	0.01676129699634695	0.000113	408603122	11775497
OMVLDZB-pickrell-NA19238_yale	12	43085	0.015572529458049952	0.000105	408603122	11779375
OMVLDZB-pickrell-NA19238_yale	13	44835	0.016205044870643368	0.000110	408603122	11777746
OMVLDZB-pickrell-NA19238_yale	14	43386	0.01568132210901602	0.000106	408603122	11779167
OMVLDZB-pickrell-NA19238_yale	15	43375	0.015677346297851145	0.000106	408603122	11779170
OMVLDZB-pickrell-NA19238_yale	16	48313	0.017462124073500458	0.000118	408603122	11774357
OMVLDZB-pickrell-NA19238_yale	17	52519	0.018982329687996412	0.000129	408603122	11770112
OMVLDZB-pickrell-NA19238_yale	18	51036	0.01844631805549582	0.000125	408603122	11771603
OMVLDZB-pickrell-NA19238_yale	19	54842	0.019821948718541847	0.000134	408603122	11767856
OMVLDZB-pickrell-NA19238_yale	20	109979	0.03975052146377801	0.000269	408603122	11712639
OMVLDZB-pickrell-NA19238_yale	21	53350	0.01928268414963363	0.000131	408603122	11769374
OMVLDZB-pickrell-NA19238_yale	22	60973	0.02203792128689056	0.000149	408603122	11761656
OMVLDZB-pickrell-NA19238_yale	23	65506	0.023676316924196823	0.000160	408603122	11757004
OMVLDZB-pickrell-NA19238_yale	24	70294	0.025406879093052413	0.000172	408603122	11752320
OMVLDZB-pickrell-NA19238_yale	25	157761	0.0570207222892287	0.000386	408603122	11663937
OMVLDZB-pickrell-NA19238_yale	26	109984	0.03975232865067114	0.000269	408603122	11706554
OMVLDZB-pickrell-NA19238_yale	27	201705	0.07290372645551736	0.000494	408603122	11608385
OMVLDZB-pickrell-NA19238_yale	28	124186	0.04488546230190069	0.000304	408603122	11677992
OMVLDZB-pickrell-NA19238_yale	29	209965	0.0758891992029583	0.000514	408603122	11582576
OMVLDZB-pickrell-NA19238_yale	30	129634	0.046854573140648656	0.000317	408603122	11650808
OMVLDZB-pickrell-NA19238_yale	31	142891	0.051646148469077766	0.000350	408603122	11621899
OMVLDZB-pickrell-NA19238_yale	32	142056	0.051344348257926054	0.000348	408603122	11594869
OMVLDZB-pickrell-NA19238_yale	33	136678	0.04940053803568182	0.000335	408603122	11563254
OMVLDZB-pickrell-NA19238_yale	34	3128	0.0011305761203384067	0.000008	408603122	11516300
OMVLDZB-pickrell-NA19238_yale	35	0	0.0	0.000000	408603122	11194754
