basename	readIndex	25%-percentile	median	averageQuality	75%-percentile
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	41	11	21	19.345131	28
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	38	25	30	26.519820	32
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	31	28	31	28.752309	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	5	31	33	31.339945	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	6	31	33	31.458158	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	7	32	33	31.533913	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	12	31	33	31.065063	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	1	32	33	31.882229	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	2	32	33	31.763555	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	13	31	33	30.958510	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	25	29	32	29.723615	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	39	24	29	25.760107	32
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	28	28	32	29.274280	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	16	30	32	30.886372	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	36	26	30	27.442805	32
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	42	4	21	18.715366	27
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	45	4	20	17.354686	28
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	43	4	21	18.228430	27
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	35	27	30	27.829032	32
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	27	29	32	29.472504	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	44	4	20	17.448602	26
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	37	25	30	27.009161	32
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	34	27	31	28.081843	32
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	21	30	32	30.413539	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	32	28	31	28.510969	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	15	31	33	30.933969	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	17	30	32	30.785183	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	22	30	32	30.318814	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	19	30	32	30.613558	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	4	31	33	31.416743	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	8	31	33	31.371400	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	11	31	33	31.149443	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	3	32	33	31.612458	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	30	28	31	28.927355	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	9	31	33	31.135848	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	26	29	32	29.573345	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	29	28	31	29.079100	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	33	28	31	28.394269	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	40	20	28	23.890515	31
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	0	33	33	32.108094	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	18	30	32	30.747733	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	14	31	33	30.930324	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	24	29	32	30.059304	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	23	29	32	30.176145	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	20	30	32	30.520581	33
pickrell-NA19238_yale-QQPOLQB-pickrell-NA19209_argonne	10	31	33	31.255837	33
