basename	read-index	count-variation-bases	bases-at-index/all-variations-bases	bases-at-index/all-reference-bases	count-reference-bases	count-reference-bases-at-index
KNBJXDZ-pickrell-NA19201_yale	1	0	0.0	0.000000	423890744	11818677
KNBJXDZ-pickrell-NA19201_yale	2	2803	0.0013710932646694262	0.000007	423890744	12122026
KNBJXDZ-pickrell-NA19201_yale	3	44640	0.021835748603226252	0.000105	423890744	12146725
KNBJXDZ-pickrell-NA19201_yale	4	46401	0.022697145406323952	0.000109	423890744	12156759
KNBJXDZ-pickrell-NA19201_yale	5	45191	0.022105271396245463	0.000107	423890744	12165417
KNBJXDZ-pickrell-NA19201_yale	6	42356	0.020718525265193796	0.000100	423890744	12173267
KNBJXDZ-pickrell-NA19201_yale	7	42745	0.020908805422152916	0.000101	423890744	12176837
KNBJXDZ-pickrell-NA19201_yale	8	41629	0.02036291170707226	0.000098	423890744	12181468
KNBJXDZ-pickrell-NA19201_yale	9	40874	0.01999360189086626	0.000096	423890744	12185464
KNBJXDZ-pickrell-NA19201_yale	10	40211	0.019669294065509203	0.000095	423890744	12188338
KNBJXDZ-pickrell-NA19201_yale	11	39291	0.019219274157019774	0.000093	423890744	12191010
KNBJXDZ-pickrell-NA19201_yale	12	38588	0.018875400248684913	0.000091	423890744	12191976
KNBJXDZ-pickrell-NA19201_yale	13	39321	0.019233948719253123	0.000093	423890744	12191187
KNBJXDZ-pickrell-NA19201_yale	14	42033	0.02056052914514805	0.000099	423890744	12188513
KNBJXDZ-pickrell-NA19201_yale	15	43268	0.021164631957087666	0.000102	423890744	12187312
KNBJXDZ-pickrell-NA19201_yale	16	52241	0.025553793521082942	0.000123	423890744	12178534
KNBJXDZ-pickrell-NA19201_yale	17	49054	0.023994865859826624	0.000116	423890744	12181552
KNBJXDZ-pickrell-NA19201_yale	18	42154	0.0206197165461559	0.000099	423890744	12188430
KNBJXDZ-pickrell-NA19201_yale	19	46162	0.022580238060531593	0.000109	423890744	12184445
KNBJXDZ-pickrell-NA19201_yale	20	45233	0.022125815783372155	0.000107	423890744	12185367
KNBJXDZ-pickrell-NA19201_yale	21	48556	0.023751268126753	0.000115	423890744	12182258
KNBJXDZ-pickrell-NA19201_yale	22	48009	0.023483701942031567	0.000113	423890744	12182649
KNBJXDZ-pickrell-NA19201_yale	23	50843	0.024869958921008788	0.000120	423890744	12179703
KNBJXDZ-pickrell-NA19201_yale	24	53214	0.02602973848951796	0.000126	423890744	12177418
KNBJXDZ-pickrell-NA19201_yale	25	57872	0.028308208852282923	0.000137	423890744	12172180
KNBJXDZ-pickrell-NA19201_yale	26	91041	0.044532894009550204	0.000215	423890744	12136031
KNBJXDZ-pickrell-NA19201_yale	27	93354	0.04566430275774157	0.000220	423890744	12130490
KNBJXDZ-pickrell-NA19201_yale	28	97236	0.04756319111073718	0.000229	423890744	12121716
KNBJXDZ-pickrell-NA19201_yale	29	108406	0.053027019782288194	0.000256	423890744	12104689
KNBJXDZ-pickrell-NA19201_yale	30	114137	0.05583035032093268	0.000269	423890744	12089578
KNBJXDZ-pickrell-NA19201_yale	31	135617	0.06633733688001198	0.000320	423890744	12055195
KNBJXDZ-pickrell-NA19201_yale	32	162906	0.07968580783954246	0.000384	423890744	11992943
KNBJXDZ-pickrell-NA19201_yale	33	198736	0.09721212666690798	0.000469	423890744	11905285
KNBJXDZ-pickrell-NA19201_yale	34	232	1.1348328127124754E-4	0.000001	423890744	11848976
KNBJXDZ-pickrell-NA19201_yale	35	0	0.0	0.000000	423890744	11428329
